City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
165,port shepstone,18.08,heavy intensity rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
166,sorland,19.04,few clouds,67.667,12.6934,Sjybrygga fiskecamp
169,deputatskiy,12.26,broken clouds,69.3,139.9,Baza Otdykha
170,vaini,22.71,broken clouds,-21.2,-175.2,Keleti Beach Resort
171,waingapu,24.34,clear sky,-9.6567,120.2641,Pondok Wisata Elim
172,velizh,12.44,broken clouds,55.6056,31.1967,Энергетик
173,tartagal,25.42,clear sky,-22.5164,-63.8013,Almuñecar Hotel
174,chapais,22.4,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
176,avarua,25.03,broken clouds,-21.2078,-159.775,Paradise Inn
179,nosy varika,20.85,scattered clouds,-20.5833,48.5333,Hotel Volazara
180,buchanan,26.45,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
181,bosanski samac,18.97,overcast clouds,45.0592,18.4669,Rezidencija Petkovic
182,husavik,12.95,scattered clouds,66.0449,-17.3389,Bjarnabúð
183,sumbe,24.56,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
185,umm lajj,30.1,clear sky,25.0213,37.2685,Moon light Furnished Units
186,georgetown,28.27,few clouds,5.4112,100.3354,Cititel Penang
188,auki,24.62,moderate rain,-8.7676,160.7034,Auki Motel
189,katsuura,20.62,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
190,ancud,10.13,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
191,beni,17.25,light rain,0.5,29.4667,Albertine hotel
192,mabaruma,28.32,broken clouds,8.2,-59.7833,Monty Brooms Guest House
193,cape town,16.23,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
195,beloeil,27.42,clear sky,45.5668,-73.1992,Manoir Rouville Campbell
196,lagoa,15.26,scattered clouds,39.05,-27.9833,Casa Das Faias
197,kruisfontein,13.27,heavy intensity rain,-34.0033,24.7314,Oyster Bay House Rental
198,baden-baden,24.6,clear sky,48.75,8.25,Hotel zum Goldenen Löwen Baden-Baden
201,nouakchott,23.96,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
202,camana,19.59,scattered clouds,-16.6228,-72.7111,Hostal Morales
203,laguna,37.03,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
204,winchester,22.02,scattered clouds,51.0651,-1.3187,"The Wykeham Arms, Winchester"
206,davila,29.47,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
207,diamantino,33.38,scattered clouds,-14.4086,-56.4461,Hotel Delta
208,bahia honda,28.32,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
209,kapaa,27.29,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
210,la ronge,24.57,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
211,suntar,14.41,overcast clouds,62.1444,117.6319,Дом у Мамы
212,zambezi,17.25,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
213,ambulu,23.0,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
214,kavieng,27.01,light rain,-2.5744,150.7967,Nusa Island Retreat
215,roma,23.57,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
216,yeppoon,16.88,clear sky,-23.1333,150.7333,Villa Mar Colina
217,keighley,21.75,clear sky,53.8679,-1.9066,Dalesgate Hotel
218,puerto escondido,31.08,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
219,banjar,25.92,overcast clouds,-8.19,114.9675,The Hamsa Resort
220,anloga,28.19,overcast clouds,5.7947,0.8973,Pin Drop Hotel
223,saldanha,16.03,broken clouds,-33.0117,17.9442,Blue Bay Lodge
224,medea,17.25,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
226,tongchuan,18.54,overcast clouds,35.0806,109.0897,Tongchuan Hotel
227,archidona,26.9,clear sky,37.0965,-4.3887,Hotel Escua
228,scarborough,14.74,overcast clouds,54.2797,-0.4044,Ambassador
229,faya,23.51,broken clouds,18.3851,42.4509,مقبرة ال مجمل
234,poum,22.32,broken clouds,-20.2333,164.0167,Gîte kajeon
236,whitianga,10.57,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
237,prince george,23.33,clear sky,53.9166,-122.75299999999999,Canadas Best Value Inn Prince George
239,hualmay,20.82,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
241,oranjemund,15.06,clear sky,-28.55,16.4333,The Fisherman's Cove
242,hervey bay,19.46,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
244,port-gentil,26.1,overcast clouds,-0.7193,8.7815,Fengshui Residence
245,paka,26.56,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
246,airai,13.04,scattered clouds,-8.9266,125.4092,Juvinal Martin
247,bedele,13.59,moderate rain,8.456,36.353,Central Hotel
249,portland,30.45,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
250,sabang,28.34,overcast clouds,5.8933,95.3214,Hotel Citra
251,port hawkesbury,24.95,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
252,krk,18.55,clear sky,45.0258,14.5731,Koralj Sunny Hotel by Valamar
253,ambon,26.15,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
254,punta alta,12.06,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
257,yima,20.14,overcast clouds,34.7381,111.8839,Yima Hotel
258,juelsminde,15.75,clear sky,55.7088,10.0167,Juelsminde Hosby B&B
259,araguaina,30.67,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
260,labuan,27.09,light rain,5.2767,115.2417,Tiara Labuan Hotel
261,fortuna,30.82,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
262,cascais,18.67,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
263,lima,19.94,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
264,tigzirt,20.64,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
265,aswan,34.55,clear sky,24.0934,32.907,Nuba Nile
266,brigantine,25.71,overcast clouds,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
268,walvis bay,17.83,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
269,dengzhou,16.2,light rain,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
270,rieti,20.12,scattered clouds,42.4072,12.8592,Hotel Miramonti
271,zamora,26.4,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
272,padang,25.66,light rain,-0.9492,100.3543,Mercure Padang
273,verkhnevilyuysk,12.76,overcast clouds,63.4453,120.3167,Gostinitsa Mila
274,acarau,28.24,few clouds,-2.8856,-40.12,castelo pizzaria
